USER_ID,Elapsed,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjMode,EditMode,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge
808fd42c,109.66,1,49.66,3.77,-0.98,2.68,6.24,0.0,0.0,0.0,1.73,1,1,0,0,0,0,1,1,0,0,0,0,1
808fd42c,110.66,1,50.66,4.66,-1.21,3.31,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,111.67,1,51.67,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,112.67,1,52.67,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,113.68,1,53.68,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,114.68,1,54.68,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,115.68,1,55.68,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,116.69,1,56.69,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,117.69,1,57.69,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,118.69,1,58.69,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,119.71,1,59.71,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,120.71,2,0.71,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,121.71,2,1.71,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,122.72,2,2.72,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,123.72,2,3.72,5.21,-0.53,2.58,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,124.72,2,4.72,4.89,-3.02,1.13,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,125.73,2,5.73,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,126.74,2,6.74,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,127.74,2,7.74,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,1,1,0,0,0,0,0,0
808fd42c,128.74,2,8.74,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,129.75,2,9.75,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,130.76,2,10.76,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,131.76,2,11.76,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,132.77,2,12.77,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,133.77,2,13.77,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
